# diameters_cpd	void_ratio_cpd	diameters_psd	void_ratio_psd
4.000000000000000083e-03	1.255260676156583655e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.303672394607075909e-03	1.255260676156583655e+00	4.605940683338018322e-03	-0.000000000000000000e+00
7.032235217329286907e-03	1.255260676156583655e+00	6.107100113354378690e-03	-0.000000000000000000e+00
9.324167948633254807e-03	1.255260676156583655e+00	8.097514570574830539e-03	-0.000000000000000000e+00
1.236308303796156485e-02	1.255260676156583655e+00	1.073664112322158040e-02	-0.000000000000000000e+00
1.639243555516792933e-02	1.255260676156583655e+00	1.423590678400833351e-02	-0.000000000000000000e+00
2.173502698357990606e-02	1.255260676156583655e+00	1.887564645563615320e-02	-0.000000000000000000e+00
2.881886565221315408e-02	1.255260676156583655e+00	2.502756125928008030e-02	-0.000000000000000000e+00
3.821145555088322626e-02	1.255260676156583655e+00	3.318449643879530647e-02	-0.000000000000000000e+00
5.066526049074365073e-02	1.251653581199575260e+00	4.399992442284385297e-02	1.278635036527078946e-02
6.717798585758338881e-02	1.232979923887539409e+00	5.834029613155863880e-02	6.619396712270569916e-02
8.907250727954237057e-02	1.203636320892778278e+00	7.735445452153735801e-02	1.040165544135276399e-01
1.181028494942366336e-01	1.152021659970970058e+00	1.025656712614415045e-01	1.829625076125642458e-01
1.565947056467542342e-01	1.066631510243511771e+00	1.359936798259128721e-01	3.026891127545307536e-01
2.076317543700778034e-01	9.481062523073038317e-01	1.803164813834318425e-01	4.201457109305920534e-01
2.753027009741046416e-01	7.240381209238330174e-01	2.390848861514969503e-01	7.942717526728854116e-01
3.650288338292813073e-01	4.678047555779272226e-01	3.170069776623675173e-01	9.082903620875090178e-01
4.839983373039931092e-01	3.667592048122079174e-01	4.203252890814300757e-01	3.581840318431172565e-01
6.417421551487280107e-01	3.174053004993936389e-01	5.573169081141048364e-01	1.749486276238951532e-01
8.508975381794898762e-01	2.835615987682899020e-01	7.389565751531363968e-01	1.199684048103107220e-01
1.128220445970420149e+00	2.392610280368645537e-01	9.797958971132695316e-01	1.570356825935220468e-01
1.495927908581150101e+00	2.112759455356447713e-01	1.299129112967230437e+00	9.920090103709787444e-02
1.983477888266035549e+00	1.797967639035011889e-01	1.722538803368669269e+00	1.115867062990789221e-01
2.629929230327527456e+00	1.594154448090656651e-01	2.283945375016478874e+00	7.224724881209425298e-02
3.487070764664585099e+00	1.478064362041533464e-01	3.028324509066351311e+00	4.115135675246010816e-02
4.623570238148236200e+00	1.446772686832740185e-01	4.015310275161806608e+00	1.109220376797963141e-02
6.130475459148414963e+00	1.192264234875444195e-01	5.323972565539454749e+00	9.021759272862690804e-02
8.128508364625398386e+00	1.192264234875444195e-01	7.059151581374253581e+00	-0.000000000000000000e+00
1.077773635569910482e+01	1.120709519572953283e-01	9.359856842870376781e+00	2.536455710341652819e-02
1.429039569651859765e+01	1.050805160142349592e-01	1.241040358875143568e+01	2.477954260679697540e-02
1.894789429090935329e+01	9.573242882562271738e-02	1.645517872989838892e+01	3.313689255850027493e-02
2.512335597165722945e+01	7.889372700859276222e-02	2.181821929452189224e+01	5.968945749835047332e-02
3.331151238169130835e+01	7.361766014234882860e-02	2.892917184295979993e+01	1.870248504861698677e-02
4.416833716034698654e+01	5.371908362989330499e-02	3.835771252558753730e+01	7.053603359236772230e-02
5.856359762825752568e+01	4.392304270462643601e-02	5.085918526055814937e+01	3.472478904932309318e-02
7.765053401746644113e+01	3.689724199288257900e-02	6.743511421965727948e+01	2.490490285607326743e-02
1.029582484237335791e+02	3.300711743772244411e-02	8.941343842849290979e+01	1.378962742030883162e-02
1.365142049905132637e+02	2.258599173643260904e-02	1.185548962750241770e+02	3.694057572793474353e-02
1.810066551199791149e+02	1.808586481303575688e-02	1.571940826548378425e+02	1.595195031362917071e-02
2.399999999999991189e+02	0.000000000000000000e+00	2.084264791930113461e+02	6.411037328226890097e-02
